Caso,Tamaño,Tiempo
1000_aleatorio,1000,0.23067879676818848
100_aleatorio,100,0.001245737075805664
150_aleatorio,150,0.0029964447021484375
200_aleatorio,200,0.005553007125854492
250_aleatorio,250,0.01213216781616211
300_aleatorio,300,0.015607595443725586
350_aleatorio,350,0.02111506462097168
400_aleatorio,400,0.028594970703125
450_aleatorio,450,0.03862452507019043
500_aleatorio,500,0.04840421676635742
50_aleatorio,50,0.0004210472106933594
550_aleatorio,550,0.05709218978881836
600_aleatorio,600,0.0684053897857666
650_aleatorio,650,0.08125925064086914
700_aleatorio,700,0.09961271286010742
750_aleatorio,750,0.10672473907470703
800_aleatorio,800,0.1279900074005127
850_aleatorio,850,0.1495668888092041
900_aleatorio,900,0.16825413703918457
950_aleatorio,950,0.18279671669006348
